SequenceID	Type
b000016401	Bird
b000016328	Bird
b000016366	Bird
b000003321	Bird
b000012945	Bird
b000015712	Bird
b000003320	Bird
b000013007	Bird
b000013986	Bird
b000015467	Bird
b000013441	Bird
b000013592	Bird
b000013593	Bird
b000010960	Bird
b000011503	Bird
b000002432	Bird
b000013006	Bird
b000010969	Bird
b000010959	Bird
b000010616	Bird
b000015530	Bird
b000000012	Bird
b000008382	Bird
b000015429	Bird
b000000174	Bird
b000014470	Bird
b000001443	Bird
b000010613	Bird
b000003677	Bird
b000015509	Bird
b000010327	Bird
b000000200	Bird
b000014946	Bird
b000009206	Bird
b000015873	Bird
b000015874	Bird
b000010983	Bird
b000004654	Bird
b000010329	Bird
b000016401	Cat
b000016366	Cat
b000012945	Cat
b000015712	Cat
b000014773	Cat
b000015467	Cat
b000015819	Cat
b000014689	Cat
b000009520	Cat
b000008996	Cat
b000003954	Cat
b000010458	Cat
b000000396	Cat
b000003537	Cat
b000000777	Cat
b000010463	Cat
b000015360	Cat
b000011502	Cat
b000000126	Cat
b000014318	Cat
b000010459	Cat
b000011615	Cat
b000003331	Cat
b000016022	Cat
b000015359	Cat
b000008836	Cat
b000011506	Cat
b000011837	Cat
b000011612	Cat
b000015476	Cat
b000001701	Cat
b000010214	Cat
b000014687	Cat
b000011618	Cat
b000015668	Cat
b000014779	Cat
b000011614	Cat
b000016328	Dog
b000016366	Dog
b000012945	Dog
b000012779	Dog
b000013007	Dog
b000015467	Dog
b000014722	Dog
b000013441	Dog
b000009520	Dog
b000003954	Dog
b000000396	Dog
b000007813	Dog
b000004116	Dog
b000011324	Dog
b000001445	Dog
b000012151	Dog
b000004110	Dog
b000005829	Dog
b000005966	Dog
b000008647	Dog
b000004111	Dog
b000013535	Dog
b000013058	Dog
b000012152	Dog
b000004847	Dog
b000012783	Dog
b000001448	Dog
b000016333	Dog
b000012946	Dog
b000004114	Dog
b000013054	Dog
b000016332	Dog
b000014737	Dog
b000015132	Dog
b000013056	Dog
b000016246	Dog
b000016371	Dog
b000016401	Pet
b000016328	Pet
b000016366	Pet
b000012945	Pet
b000015712	Pet
b000012779	Pet
b000013007	Pet
b000015467	Pet
b000013441	Pet
b000014689	Pet
b000009520	Pet
b000003954	Pet
b000010458	Pet
b000000396	Pet
b000004116	Pet
b000011505	Pet
b000004110	Pet
b000005829	Pet
b000005966	Pet
b000008647	Pet
b000011502	Pet
b000013058	Pet
b000003331	Pet
b000016022	Pet
b000015359	Pet
b000011506	Pet
b000011612	Pet
b000004847	Pet
b000012783	Pet
b000016333	Pet
b000012946	Pet
b000004114	Pet
b000013054	Pet
b000016332	Pet
b000014737	Pet
b000013056	Pet
b000016246	Pet
b000016371	Pet
b000011369	Cow
b000014547	Cow
b000000049	Cow
b000015819	Cow
b000016186	Cow
b000000104	Cow
b000011778	Cow
b000013398	Cow
