SequenceID	Type
b000009490	Bird
b000000008	Bird
b000008870	Bird
b000012942	Bird
b000012289	Bird
b000000516	Bird
b000001820	Bird
b000012606	Bird
b000012959	Bird
b000013029	Bird
b000012941	Bird
b000012960	Bird
b000016480	Bird
b000006923	Bird
b000013728	Bird
b000015129	Bird
b000003560	Bird
b000016454	Bird
b000016854	Bird
b000003986	Bird
b000016481	Bird
b000015247	Bird
b000009228	Bird
b000012947	Bird
b000013727	Bird
b000013593	Bird
b000006925	Bird
b000015126	Bird
b000008430	Bird
b000000272	Bird
b000016458	Bird
b000013732	Bird
b000003570	Bird
b000013031	Bird
b000008202	Bird
b000004962	Bird
b000014593	Bird
b000011721	Bird
b000003693	Bird
b000001443	Bird
b000017085	Bird
b000008929	Bird
b000000290	Bird
b000006515	Bird
b000016736	Bird
b000014596	Bird
b000009490	Cat
b000000008	Cat
b000008198	Cat
b000008191	Cat
b000008190	Cat
b000008870	Cat
b000003550	Cat
b000012209	Cat
b000009656	Cat
b000008392	Cat
b000015039	Cat
b000007866	Cat
b000008197	Cat
b000008405	Cat
b000012214	Cat
b000015044	Cat
b000016726	Cat
b000000158	Cat
b000016844	Cat
b000016995	Cat
b000017015	Cat
b000016818	Cat
b000017048	Cat
b000016787	Cat
b000005999	Cat
b000017005	Cat
b000004887	Cat
b000004885	Cat
b000016999	Cat
b000016665	Cat
b000017084	Cat
b000012265	Cat
b000001834	Cat
b000012268	Cat
b000016728	Cat
b000016743	Cat
b000016851	Cat
b000016794	Cat
b000016673	Cat
b000017079	Cat
b000016861	Cat
b000016760	Cat
b000017042	Cat
b000013303	Dog
b000009655	Dog
b000004244	Dog
b000003120	Dog
b000013311	Dog
b000013310	Dog
b000008229	Dog
b000013308	Dog
b000007237	Dog
b000017047	Dog
b000009338	Dog
b000016888	Dog
b000016788	Dog
b000016800	Dog
b000016996	Dog
b000016993	Dog
b000017051	Dog
b000016804	Dog
b000000058	Dog
b000016899	Dog
b000016731	Dog
b000013304	Dog
b000009660	Dog
b000004259	Dog
b000017058	Dog
b000016936	Dog
b000016815	Dog
b000016785	Dog
b000016964	Dog
b000016920	Dog
b000009519	Dog
b000016735	Dog
b000016775	Dog
b000016744	Dog
b000004242	Dog
b000016805	Dog
b000000140	Dog
b000016688	Dog
b000016919	Dog
b000017069	Dog
b000016889	Dog
b000016948	Dog
b000016796	Dog
b000004123	Dog
b000016863	Dog
b000004241	Dog
b000017065	Dog
b000016975	Dog
b000009490	Pet
b000000028	Pet
b000013303	Pet
b000008191	Pet
b000009655	Pet
b000003118	Pet
b000003550	Pet
b000008683	Pet
b000003120	Pet
b000003129	Pet
b000016844	Pet
b000017055	Pet
b000016848	Pet
b000017015	Pet
b000004887	Pet
b000013311	Pet
b000016955	Pet
b000016895	Pet
b000016850	Pet
b000016852	Pet
b000017014	Pet
b000016871	Pet
b000016749	Pet
b000016779	Pet
b000017047	Pet
b000009338	Pet
b000012265	Pet
b000009660	Pet
b000016722	Pet
b000016964	Pet
b000017082	Pet
b000016775	Pet
b000016919	Pet
b000016889	Pet
b000017087	Pet
b000004123	Pet
b000016947	Pet
b000016861	Pet
b000010308	Cow
b000011975	Cow
b000001393	Cow
b000016385	Cow
b000014300	Cow
b000008207	Cow
b000014259	Cow
b000006366	Cow
b000002644	Cow
b000012646	Cow
b000011054	Cow
b000012261	Cow
b000002657	Cow
b000014210	Cow
b000016396	Cow
b000014553	Cow
b000011936	Cow
b000016727	Cow
b000014303	Cow
b000009517	Cow
b000013991	Cow
b000014305	Cow
b000009170	Cow
b000007876	Cow
b000011040	Cow
b000011072	Cow
b000001410	Cow
b000012262	Cow
b000010327	Cow
b000016759	Cow
b000000107	Cow
b000016390	Cow
b000016777	Cow
b000014882	Cow
b000016808	Cow
b000016714	Cow
b000014417	Deer
b000001896	Deer
b000015748	Deer
b000015411	Deer
b000000604	Deer
b000005560	Deer
b000001972	Deer
b000010870	Deer
b000011935	Deer
b000002638	Deer
b000014357	Deer
b000001067	Deer
b000002295	Deer
b000015042	Deer
b000004806	Deer
b000004801	Deer
b000016507	Deer
b000000621	Deer
b000013766	Deer
b000003246	Deer
b000013201	Deer
b000010871	Deer
b000015285	Deer
b000006508	Deer
b000000812	Deer
b000003039	Deer
b000013645	Deer
b000009075	Deer
b000010490	Deer
b000013199	Deer
b000012541	Deer
b000012440	Deer
b000013892	Deer
b000016631	Deer
b000016780	Deer
b000015414	Deer
b000016143	Deer
b000016558	Deer
b000013893	Deer
b000012111	Deer
b000016811	Deer
b000015416	Deer
b000014670	Deer
b000012113	Deer
b000016958	Deer
b000010342	Deer
b000006170	Deer
b000010491	Deer
b000001973	Ruminant
b000011975	Ruminant
b000001390	Ruminant
b000007702	Ruminant
b000014417	Ruminant
b000014358	Ruminant
b000002463	Ruminant
b000001896	Ruminant
b000006367	Ruminant
b000000604	Ruminant
b000001972	Ruminant
b000007697	Ruminant
b000011935	Ruminant
b000001063	Ruminant
b000014492	Ruminant
b000014357	Ruminant
b000012288	Ruminant
b000005176	Ruminant
b000012166	Ruminant
b000014627	Ruminant
b000007859	Ruminant
b000009880	Ruminant
b000013062	Ruminant
b000015042	Ruminant
b000006366	Ruminant
b000014952	Ruminant
b000002644	Ruminant
b000014821	Ruminant
b000012138	Ruminant
b000006508	Ruminant
b000012261	Ruminant
b000016301	Ruminant
b000005184	Ruminant
b000014494	Ruminant
b000009170	Ruminant
b000014215	Ruminant
b000001417	Ruminant
b000011040	Ruminant
b000016702	Ruminant
b000017097	Ruminant
b000016958	Ruminant
b000009490	Rabbit
b000000008	Rabbit
b000008870	Rabbit
b000000117	Rabbit
b000000270	Rabbit
b000014628	Rabbit
b000014166	Rabbit
b000001820	Rabbit
b000012959	Rabbit
b000013029	Rabbit
b000000514	Rabbit
b000012960	Rabbit
b000003908	Rabbit
b000013852	Rabbit
b000014099	Rabbit
b000015129	Rabbit
b000016854	Rabbit
b000012408	Rabbit
b000014785	Rabbit
b000007443	Rabbit
b000002846	Rabbit
b000012805	Rabbit
b000015165	Rabbit
b000011480	Rabbit
b000000575	Rabbit
b000016780	Rabbit
b000013518	Rabbit
b000015169	Rabbit
b000015093	Rabbit
b000015168	Rabbit
b000014098	Rabbit
b000000115	Rabbit
b000013853	Rabbit
b000016455	Rabbit
b000011483	Rabbit
b000015096	Rabbit
b000007195	Rabbit
b000016505	Rabbit
b000011484	Rabbit
b000015098	Rabbit
b000011721	Rabbit
b000016496	Rabbit
b000001443	Rabbit
b000008886	Rabbit
b000017057	Rabbit
b000015246	Rabbit
b000015092	Rabbit
b000015122	Rabbit
b000016504	Rabbit
b000017070	Rabbit
b000007425	Pig
b000017078	Pig
b000015518	Pig
b000009864	Pig
b000002951	Pig
b000007696	Pig
b000001808	Pig
b000001242	Pig
b000012850	Pig
b000004509	Pig
b000007426	Pig
b000013114	Pig
b000014166	Pig
b000000274	Pig
b000010200	Pig
b000011733	Pig
b000015476	Pig
b000011847	Pig
b000009865	Pig
b000015521	Pig
b000005826	Pig
b000005627	Pig
b000012484	Pig
b000001809	Pig
b000015929	Pig
b000010528	Pig
b000011620	Pig
b000012485	Pig
b000013154	Pig
b000006456	Pig
b000001659	Pig
b000011789	Pig
b000012526	Pig
b000013139	Pig
b000000141	Pig
b000012519	Pig
b000011792	Pig
b000011734	Pig
b000011041	Pig
b000013138	Pig
b000011790	Pig
b000000111	Pig
b000011853	Pig
b000014893	Pig
b000010527	Pig
b000013112	Pig
b000011038	Pig
b000014792	Pig
b000002850	Pig
b000012527	Pig
b000000766	Pig
b000015320	Pig
b000011848	Pig
b000000026	Pig
b000013627	Pig
b000016119	Pig
b000015319	Pig
b000000201	Pig
b000016054	Pig
b000010742	Pig
b000015321	Pig
b000013623	Pig
b000015820	Pig
b000006470	Pig
b000012517	Pig
b000011793	Pig
b000014895	Pig
b000013116	Pig
b000012518	Pig
b000002818	Sewage
b000013473	Sewage
b000003904	Sewage
b000000199	Sewage
b000003907	Sewage
b000003901	Sewage
b000013471	Sewage
b000000810	Sewage
b000011379	Sewage
b000003899	Sewage
b000003906	Sewage
b000016994	Sewage
b000013472	Sewage
b000013147	Sewage
b000003827	Sewage
b000011328	Sewage
b000014167	Sewage
b000000455	Sewage
b000000906	Sewage
b000000916	Sewage
b000014373	Sewage
b000016766	Sewage
b000012407	Sewage
b000016772	Sewage
b000013474	Sewage
b000003905	Sewage
b000013232	Sewage
b000011006	Sewage
b000002846	Sewage
b000009670	Sewage
b000000696	Sewage
b000003417	Sewage
b000003900	Sewage
b000004511	Sewage
b000012120	Sewage
b000010536	Sewage
b000002136	Sewage
b000002967	Sewage
b000014147	Sewage
b000011284	Sewage
b000012448	Sewage
b000014862	Sewage
b000005726	Sewage
b000010039	Sewage
b000006704	Sewage
b000001581	Sewage
b000016245	Sewage
b000004510	Sewage
b000007199	Sewage
b000011279	Sewage
b000003331	Sewage
b000011766	Sewage
b000014145	Sewage
b000014146	Sewage
b000014148	Sewage
b000014763	Sewage
b000000191	Sewage
b000011597	Sewage
b000016433	Sewage
b000016901	Sewage
b000016858	Sewage
b000014865	Sewage
b000005910	Sewage
b000008409	Sewage
b000000402	Sewage
b000001825	Sewage
b000016686	Sewage
b000012230	Sewage
b000010649	Sewage
b000007261	Sewage
b000011600	Sewage
b000000912	Sewage
b000011312	Sewage
b000012599	Sewage
b000001099	Sewage
b000012608	Sewage
b000005918	Sewage
b000014111	Sewage
b000011327	Sewage
b000004520	Sewage
b000008414	Sewage
b000000613	Sewage
b000012449	Sewage
b000016790	Sewage
b000014642	Sewage
b000014108	Sewage
b000016295	Sewage
b000010805	Sewage
b000016685	Sewage
b000000222	Sewage
b000005668	Sewage
b000012600	Sewage
b000011539	Sewage
b000017064	Sewage
b000001016	Sewage
b000003903	Sewage
b000011283	Sewage
b000001579	Sewage
b000000220	Sewage
b000000686	Sewage
b000004010	Sewage
b000014645	Sewage
b000011001	Sewage
b000003136	Sewage
b000016434	Sewage
b000005669	Sewage
b000013231	Sewage
b000016711	Sewage
b000016296	Sewage
b000003916	Sewage
b000013477	Sewage
b000017101	Sewage
b000005929	Sewage
b000003122	Sewage
b000012364	Sewage
b000016738	Sewage
b000002143	Sewage
b000009169	Sewage
b000008419	Sewage
b000012391	Sewage
b000012121	Sewage
b000013236	Sewage
b000011420	Sewage
b000000814	Sewage
b000010034	Sewage
b000003586	Sewage
b000001900	Sewage
b000012363	Sewage
b000009686	Sewage
b000016974	Sewage
