SequenceID	Type
c000019178	Bird
c000010907	Bird
c000014932	Bird
c000014042	Bird
c000018140	Bird
c000017914	Bird
c000006311	Bird
c000012111	Bird
c000010999	Bird
c000012449	Bird
c000007356	Bird
c000000017	Bird
c000016041	Bird
c000018719	Bird
c000015105	Bird
c000014836	Bird
c000014896	Bird
c000018267	Bird
c000014894	Bird
c000017896	Bird
c000001246	Bird
c000000119	Bird
c000012026	Bird
c000014044	Bird
c000005446	Bird
c000000099	Bird
c000004812	Bird
c000015323	Bird
c000016043	Bird
c000014046	Bird
c000014050	Bird
c000013441	Bird
c000017913	Bird
c000006572	Bird
c000018143	Bird
c000019021	Bird
c000013452	Bird
c000018043	Bird
c000018595	Cat
c000015535	Cat
c000019091	Cat
c000012449	Cat
c000000076	Cat
c000013878	Cat
c000017978	Cat
c000015401	Cat
c000013246	Cat
c000016777	Cat
c000011530	Cat
c000001048	Cat
c000007693	Cat
c000002143	Cat
c000003301	Cat
c000007139	Cat
c000007468	Cat
c000011426	Cat
c000015008	Cat
c000001046	Cat
c000003087	Cat
c000007211	Cat
c000015432	Cat
c000017708	Cat
c000009745	Cat
c000000139	Cat
c000008600	Cat
c000003915	Cat
c000011522	Cat
c000005181	Cat
c000010910	Cat
c000015718	Cat
c000013739	Cat
c000012451	Cat
c000012452	Cat
c000006083	Cat
c000013885	Cat
c000016322	Cat
c000017980	Cat
c000008909	Cat
c000016323	Cat
c000018599	Cat
c000012450	Cat
c000007696	Cat
c000012114	Cat
c000018463	Cat
c000018602	Cat
c000010907	Dog
c000018595	Dog
c000015535	Dog
c000013582	Dog
c000019091	Dog
c000018072	Dog
c000012111	Dog
c000009740	Dog
c000012449	Dog
c000014728	Dog
c000018459	Dog
c000014658	Dog
c000006703	Dog
c000012395	Dog
c000013740	Dog
c000009111	Dog
c000015175	Dog
c000011530	Dog
c000012172	Dog
c000001048	Dog
c000007141	Dog
c000007138	Dog
c000010906	Dog
c000010909	Dog
c000015507	Dog
c000014551	Dog
c000014242	Dog
c000010914	Dog
c000014730	Dog
c000013974	Dog
c000014661	Dog
c000010829	Dog
c000013586	Dog
c000008909	Dog
c000018073	Dog
c000018549	Dog
c000018597	Dog
c000019100	Dog
c000010907	Pet
c000018595	Pet
c000015535	Pet
c000019091	Pet
c000012111	Pet
c000009740	Pet
c000012449	Pet
c000014728	Pet
c000018459	Pet
c000017978	Pet
c000006703	Pet
c000013973	Pet
c000012395	Pet
c000013740	Pet
c000016777	Pet
c000009111	Pet
c000015175	Pet
c000012172	Pet
c000001048	Pet
c000007693	Pet
c000015008	Pet
c000007138	Pet
c000010906	Pet
c000010909	Pet
c000014551	Pet
c000010914	Pet
c000014730	Pet
c000010910	Pet
c000013974	Pet
c000008909	Pet
c000018599	Pet
c000012450	Pet
c000018597	Pet
c000018602	Pet
c000019100	Pet
c000017234	Cow
c000017299	Cow
c000019160	Cow
c000017197	Cow
c000019045	Cow
c000006444	Cow
c000016492	Cow
c000012661	Cow
c000014520	Cow
c000011523	Cow
c000013156	Cow
c000004043	Cow
c000002426	Cow
c000002954	Cow
c000002955	Cow
c000017864	Cow
c000017341	Cow
c000008202	Cow
c000012717	Cow
c000007467	Cow
c000014522	Cow
c000015216	Cow
c000006708	Cow
c000006076	Cow
c000013821	Cow
c000016566	Cow
c000010595	Cow
c000000458	Cow
c000018523	Cow
c000011325	Cow
c000013190	Cow
c000004186	Cow
c000018877	Cow
c000013692	Cow
c000013823	Cow
c000016044	Cow
c000018951	Deer
c000018780	Deer
c000014702	Deer
c000002583	Deer
c000000064	Deer
c000001446	Deer
c000006090	Deer
c000009944	Deer
c000000039	Deer
c000011597	Deer
c000012908	Deer
c000009780	Deer
c000001443	Deer
c000004687	Deer
c000018574	Deer
c000008743	Deer
c000009941	Deer
c000000627	Deer
c000016064	Deer
c000008741	Deer
c000004611	Deer
c000004261	Deer
c000006573	Deer
c000002580	Deer
c000012091	Deer
c000009942	Deer
c000000054	Deer
c000008040	Deer
c000004185	Deer
c000018834	Deer
c000015926	Deer
c000017549	Deer
c000016163	Deer
c000001507	Deer
c000007230	Deer
c000012357	Deer
c000002586	Deer
c000018838	Deer
c000018720	Deer
c000017782	Deer
c000014489	Deer
c000000268	Deer
c000016165	Deer
c000005191	Deer
c000016292	Deer
c000016295	Deer
c000018938	Deer
c000010463	Deer
c000011939	Deer
c000019022	Deer
c000018955	Deer
c000010249	Deer
c000013281	Deer
c000013161	Deer
c000008349	Deer
c000018575	Deer
c000018832	Ruminant
c000018951	Ruminant
c000017234	Ruminant
c000018808	Ruminant
c000017299	Ruminant
c000019160	Ruminant
c000017546	Ruminant
c000017197	Ruminant
c000014702	Ruminant
c000015868	Ruminant
c000005613	Ruminant
c000018652	Ruminant
c000017599	Ruminant
c000011523	Ruminant
c000015955	Ruminant
c000004043	Ruminant
c000002954	Ruminant
c000002955	Ruminant
c000016242	Ruminant
c000013092	Ruminant
c000009272	Ruminant
c000017864	Ruminant
c000017341	Ruminant
c000016868	Ruminant
c000011889	Ruminant
c000012091	Ruminant
c000017549	Ruminant
c000000458	Ruminant
c000012357	Ruminant
c000018838	Ruminant
c000011325	Ruminant
c000017782	Ruminant
c000017762	Ruminant
c000013368	Ruminant
c000011777	Pig
c000003299	Pig
c000017734	Pig
c000001485	Pig
c000000149	Pig
c000015872	Pig
c000008438	Pig
c000005930	Pig
c000001476	Pig
c000000056	Pig
c000017953	Pig
c000009282	Pig
c000017012	Pig
c000015622	Pig
c000002280	Pig
c000003094	Pig
c000018979	Pig
c000004803	Pig
c000013557	Pig
c000004818	Pig
c000001344	Pig
c000011705	Pig
c000015591	Pig
c000013327	Pig
c000005009	Pig
c000015593	Pig
c000011144	Pig
c000016463	Pig
c000017134	Pig
c000004267	Pig
c000013000	Pig
c000018501	Pig
c000005931	Pig
c000000480	Pig
c000011606	Pig
c000016129	Pig
c000014342	Pig
c000016294	Pig
c000016132	Pig
c000018105	Pig
c000018500	Pig
c000005959	Pig
c000009424	Pig
c000012256	Pig
c000016131	Pig
c000016271	Pig
c000013777	Pig
c000013781	Pig
c000013004	Pig
c000015433	Pig
c000016737	Sewage
c000018418	Sewage
c000006078	Sewage
c000015105	Sewage
c000015987	Sewage
c000000073	Sewage
c000000048	Sewage
c000000069	Sewage
c000011455	Sewage
c000018339	Sewage
c000004033	Sewage
c000016837	Sewage
c000000086	Sewage
c000018381	Sewage
c000010853	Sewage
c000015009	Sewage
c000001341	Sewage
c000011046	Sewage
c000000167	Sewage
c000015174	Sewage
c000005005	Sewage
c000013933	Sewage
c000013935	Sewage
c000012500	Sewage
c000006702	Sewage
c000018315	Sewage
c000009270	Sewage
c000015830	Sewage
c000009832	Sewage
c000002966	Sewage
c000006832	Sewage
c000000838	Sewage
c000009291	Sewage
c000015870	Sewage
c000016651	Sewage
c000013590	Sewage
c000006962	Sewage
c000016650	Sewage
c000011601	Sewage
c000006088	Sewage
c000012064	Sewage
c000000327	Sewage
c000004438	Sewage
c000015988	Sewage
c000016269	Sewage
c000012503	Sewage
c000017085	Sewage
