SequenceID	Type
b000028356	pig
b000028201	pig
b000028411	pig
b000026854	pig
b000027015	pig
b000025521	pig
b000025554	pig
b000026987	pig
b000025409	pig
b000028341	pig
b000027396	pig
b000023720	pig
b000012492	pig
b000019145	pig
b000025934	pig
b000014669	pig
b000020700	pig
b000023484	pig
b000014913	pig
b000005166	pig
b000012107	pig
b000019315	pig
b000023771	pig
b000019803	pig
b000013028	pig
b000026906	pig
b000009926	pig
b000019294	pig
b000019844	pig
b000027344	pig
b000010372	pig
b000003164	pig
b000004784	pig
b000004308	pig
b000023343	pig
b000018694	pig
b000021747	pig
b000020731	pig
b000008587	pig
b000012584	pig
b000024854	pig
b000006737	pig
b000023004	pig
b000020552	pig
b000014284	pig
b000019250	pig
b000004667	pig
b000020840	pig
b000014744	pig
b000020914	pig
b000017376	pig
b000026079	pig
b000027266	pig
b000020839	pig
b000007997	pig
b000019316	pig
b000020809	pig
b000021671	pig
b000002882	pig
b000005442	pig
b000023833	pig
b000017382	pig
b000009640	pig
b000021754	pig
b000012300	pig
b000027435	pig
b000023007	pig
b000023010	pig
b000026188	pig
b000019223	pig
b000020915	pig
b000026859	pig
b000025559	pig
b000023810	pig
b000005355	pig
b000028127	cattle
b000028315	cattle
b000028253	cattle
b000028433	cattle
b000025677	cattle
b000020001	cattle
b000017169	cattle
b000022502	cattle
b000017932	cattle
b000027173	cattle
b000026923	cattle
b000025303	cattle
b000027212	cattle
b000025851	cattle
b000025877	cattle
b000015572	cattle
b000000860	cattle
b000013134	cattle
b000027106	cattle
b000025331	cattle
b000000729	cattle
b000025658	cattle
b000022239	cattle
b000011869	cattle
b000025771	cattle
b000016499	cattle
b000010212	cattle
b000002279	cattle
b000014953	cattle
b000002300	cattle
b000025448	cattle
b000020261	cattle
b000020191	cattle
b000011871	cattle
b000010617	cattle
b000022841	cattle
b000020050	cattle
b000023951	cattle
b000017926	cattle
b000022177	cattle
b000018385	cattle
b000016381	cattle
b000017211	cattle
b000019938	cattle
b000022049	cattle
b000000728	cattle
b000000730	cattle
b000021954	cattle
b000018383	cattle
b000020026	cattle
b000023934	cattle
b000022301	cattle
b000025899	cattle
b000025354	cattle
b000006224	cattle
b000016359	cattle
b000022375	cattle
b000011352	cattle
b000018795	cattle
b000025772	cattle
b000021184	cattle
b000003509	cattle
b000002899	cattle
b000011345	cattle
b000022241	cattle
b000025879	cattle
b000011863	cattle
b000015368	cattle
b000002557	cattle
b000025679	cattle
b000025312	cattle
b000022842	cattle
b000025681	cattle
b000015145	cattle
b000022164	cattle
b000025792	cattle
b000016324	cattle
b000017945	cattle
b000002190	cattle
b000017949	cattle
b000025758	cattle
b000026701	cattle
b000016833	cattle
b000006622	cattle
b000006600	cattle
b000020321	cattle
b000028131	cattle
b000002305	cattle
b000020004	cattle
b000025817	cattle
b000025910	cattle
b000020962	cattle
b000017894	cattle
b000016490	cattle
b000022183	cattle
b000028148	cattle
b000000731	cattle
b000026754	cattle
b000002048	cattle
b000010229	cattle
b000006595	cattle
b000016410	cattle
b000022007	cattle
b000022505	cattle
b000021257	cattle
b000006591	cattle
b000022328	cattle
b000028299	cattle
b000028149	cattle
b000026772	cattle
b000028265	cattle
b000025660	cattle
b000024048	cattle
b000027178	cattle
b000026922	cattle
b000022882	cattle
b000017295	cattle
b000012296	cattle
b000022508	cattle
b000016828	cattle
b000028436	cattle
b000002566	cattle
b000026757	cattle
b000026743	cattle
b000025755	cattle
b000028150	cattle
b000026497	sewage
b000007658	sewage
b000019643	sewage
b000007661	sewage
b000015863	sewage
b000001538	sewage
b000009077	sewage
b000007662	sewage
b000009086	sewage
b000010766	sewage
b000009078	sewage
b000018517	sewage
b000016159	sewage
b000009083	sewage
b000007663	sewage
b000002108	sewage
b000005518	sewage
b000013526	sewage
b000019772	sewage
b000018515	sewage
b000016059	sewage
b000019644	sewage
b000017091	sewage
b000016207	sewage
b000002107	sewage
b000015890	sewage
b000005515	sewage
b000013527	sewage
b000016214	sewage
b000019771	sewage
b000018454	sewage
b000016061	sewage
b000002110	sewage
b000017092	sewage
b000016209	sewage
