SequenceID	Type
c000033235	pig
c000032371	pig
c000032579	pig
c000026619	pig
c000033159	pig
c000011628	pig
c000014901	pig
c000031621	pig
c000031988	pig
c000014634	pig
c000029569	pig
c000034471	pig
c000029428	pig
c000016046	pig
c000002569	pig
c000032625	pig
c000026181	pig
c000022174	pig
c000011783	pig
c000027458	pig
c000006261	pig
c000025331	pig
c000029568	pig
c000012658	pig
c000017478	pig
c000015150	pig
c000025935	pig
c000019056	pig
c000032486	pig
c000012660	pig
c000004980	pig
c000005954	pig
c000002574	pig
c000015671	pig
c000006913	pig
c000001482	pig
c000026085	pig
c000002595	pig
c000014591	pig
c000010141	pig
c000031970	pig
c000010420	pig
c000032558	pig
c000007524	pig
c000011889	pig
c000019191	pig
c000031279	pig
c000026557	pig
c000019027	pig
c000011625	pig
c000031239	pig
c000014049	pig
c000011746	pig
c000032440	pig
c000010398	pig
c000026561	pig
c000013244	pig
c000027329	pig
c000023098	pig
c000030585	pig
c000013278	pig
c000012306	pig
c000031170	pig
c000014007	pig
c000023180	pig
c000018414	pig
c000025589	cattle
c000032816	cattle
c000032400	cattle
c000031313	cattle
c000014374	cattle
c000008677	cattle
c000031470	cattle
c000026654	cattle
c000031689	cattle
c000032243	cattle
c000025479	cattle
c000033532	cattle
c000025621	cattle
c000032300	cattle
c000012629	cattle
c000031522	cattle
c000012101	cattle
c000032471	cattle
c000023016	cattle
c000029328	cattle
c000019167	cattle
c000019841	cattle
c000022869	cattle
c000030269	cattle
c000025149	cattle
c000014174	cattle
c000012305	cattle
c000023215	cattle
c000023495	cattle
c000019601	cattle
c000031550	cattle
c000025737	cattle
c000016700	cattle
c000001793	cattle
c000032526	cattle
c000023129	cattle
c000030167	cattle
c000000893	cattle
c000012343	cattle
c000031908	cattle
c000030410	cattle
c000025727	cattle
c000023764	cattle
c000011966	cattle
c000007752	cattle
c000032419	cattle
c000028286	cattle
c000029329	cattle
c000008679	cattle
c000030268	cattle
c000026934	cattle
c000034553	cattle
c000033886	cattle
c000031488	cattle
c000025982	cattle
c000028297	cattle
c000032286	cattle
c000003359	cattle
c000020641	cattle
c000032418	cattle
c000012631	cattle
c000000861	cattle
c000030334	cattle
c000031759	cattle
c000023289	cattle
c000026757	cattle
c000033134	cattle
c000025614	cattle
c000009151	cattle
c000019846	cattle
c000018579	cattle
c000031543	cattle
c000031233	cattle
c000030454	cattle
c000034321	cattle
c000016703	cattle
c000018125	cattle
c000033115	cattle
c000031148	cattle
c000030381	cattle
c000031552	cattle
c000018768	sewage
c000017362	sewage
c000018772	sewage
c000017363	sewage
c000007640	sewage
c000021058	sewage
c000009982	sewage
c000014779	sewage
c000007641	sewage
c000013036	sewage
c000009983	sewage
c000021099	sewage
c000008512	sewage
c000021570	sewage
c000010794	sewage
c000018919	sewage
c000006080	sewage
c000014778	sewage
c000033766	sewage
c000013035	sewage
c000008518	sewage
c000008345	sewage
c000014957	sewage
c000028844	sewage
c000010790	sewage
c000021587	sewage
c000021606	sewage
c000021569	sewage
c000006089	sewage
c000028160	sewage
c000018770	sewage
c000008349	sewage
c000028843	sewage
c000011182	sewage
c000009927	sewage
c000010419	sewage
c000013038	sewage
c000018145	sewage
c000018341	sewage
c000029740	sewage
c000022361	sewage
c000021560	sewage
c000008525	sewage
c000018146	sewage
c000030426	sewage
c000009929	sewage
c000020376	sewage
c000010421	sewage
c000013048	sewage
c000006086	sewage
c000029841	sewage
c000031297	sewage
c000006090	sewage
c000022360	sewage
c000029768	sewage
c000027679	sewage
c000021174	sewage
c000028084	sewage
c000030439	sewage
c000028931	sewage
c000029868	sewage
c000027739	sewage
c000027820	sewage
c000027650	sewage
c000021563	sewage
c000030110	sewage
c000031299	sewage
c000029839	sewage
c000007960	sewage
c000020377	sewage
c000021574	sewage
c000012956	sewage
c000015545	sewage
c000016549	sewage
c000019210	sewage
c000017028	sewage
c000026846	sewage
c000029284	sewage
c000012941	sewage
c000011708	sewage
c000015504	sewage
c000031973	sewage
c000030108	sewage
c000007957	sewage
c000018773	sewage
c000010999	sewage
c000028736	sewage
c000033861	sewage
c000027915	sewage
c000016546	sewage
c000031361	sewage
c000029285	sewage
c000018178	sewage
c000031941	sewage
c000019213	sewage
c000028819	sewage
c000017027	sewage
c000018769	sewage
c000011356	sewage
c000033863	sewage
c000031625	sewage
c000010720	sewage
c000011344	sewage
c000021064	sewage
c000027231	sewage
c000024074	sewage
c000010091	sewage
c000031939	sewage
c000021865	sewage
c000028583	sewage
c000024395	sewage
c000026451	sewage
c000030427	sewage
c000011310	sewage
c000009807	sewage
c000018182	sewage
c000011253	sewage
c000017240	sewage
c000011360	sewage
c000024455	sewage
c000015502	sewage
c000030991	sewage
c000005702	sewage
c000009990	sewage
c000006085	sewage
c000026450	sewage
c000030598	sewage
c000028835	sewage
c000031938	sewage
c000008350	sewage
c000031811	sewage
c000034488	sewage
c000030440	sewage
c000010795	sewage
c000018927	sewage
c000021866	sewage
c000024396	sewage
c000011205	sewage
c000023923	sewage
c000008347	sewage
c000009961	sewage
c000033985	dog
c000034581	dog
c000033921	dog
c000034477	dog
c000024075	dog
c000017605	dog
c000028969	dog
c000029100	dog
c000028614	dog
c000019699	dog
c000026596	dog
c000027197	dog
c000029302	dog
c000012991	dog
c000031018	dog
c000019311	dog
c000019697	dog
c000031394	dog
c000024135	dog
c000013721	dog
c000016195	dog
c000024718	dog
c000017058	dog
c000023137	dog
c000024741	dog
c000014834	dog
c000021424	dog
c000033989	dog
c000028968	dog
c000023142	dog
c000030809	dog
c000030781	dog
c000008515	dog
c000008521	dog
c000014455	dog
c000034563	ruminant
c000034526	ruminant
c000034515	ruminant
c000025589	ruminant
c000032638	ruminant
c000032873	ruminant
c000032816	ruminant
c000032400	ruminant
c000033089	ruminant
c000032673	ruminant
