SequenceID	Type
b000017658	waterfowl
b000017564	waterfowl
b000000022	waterfowl
b000000133	waterfowl
b000002264	waterfowl
b000000170	waterfowl
b000005176	waterfowl
b000009923	waterfowl
b000013589	waterfowl
b000006897	waterfowl
b000017118	waterfowl
b000013892	waterfowl
b000006899	waterfowl
b000014895	waterfowl
b000014939	waterfowl
b000014943	waterfowl
b000014896	waterfowl
b000005701	waterfowl
b000011903	waterfowl
b000000065	waterfowl
b000005175	waterfowl
b000016103	waterfowl
b000001502	waterfowl
b000005178	waterfowl
b000011905	waterfowl
b000010358	waterfowl
b000012758	waterfowl
b000008673	waterfowl
b000006168	waterfowl
b000001904	waterfowl
b000012217	waterfowl
b000014586	waterfowl
b000010698	waterfowl
b000003728	waterfowl
b000001485	waterfowl
b000011781	waterfowl
b000006251	waterfowl
b000009686	waterfowl
b000017658	cat
b000017564	cat
b000017662	cat
b000017383	cat
b000017493	cat
b000005288	cat
b000005698	cat
b000006557	cat
b000014703	cat
b000000170	cat
b000005287	cat
b000016378	cat
b000002543	cat
b000015026	cat
b000017215	cat
b000013675	cat
b000000079	cat
b000017306	cat
b000008451	cat
b000013676	cat
b000013775	cat
b000002143	cat
b000008465	cat
b000013779	cat
b000008460	cat
b000002270	cat
b000000007	cat
b000013673	cat
b000015008	cat
b000003810	cat
b000017577	cat
b000002259	cat
b000015029	cat
b000017253	cat
b000000182	cat
b000017250	cat
b000016109	cat
b000015882	cat
b000017161	cat
b000017572	cat
b000017623	cat
b000017660	cat
b000017389	cat
b000015881	cat
b000017257	cat
b000017252	cat
b000015908	cat
b000017564	dog
b000017662	dog
b000017383	dog
b000017493	dog
b000005288	dog
b000014270	dog
b000015998	dog
b000006557	dog
b000001131	dog
b000001900	dog
b000002543	dog
b000013777	dog
b000013675	dog
b000000167	dog
b000016040	dog
b000011779	dog
b000013779	dog
b000004728	dog
b000013673	dog
b000015157	dog
b000015999	dog
b000001150	dog
b000013674	dog
b000014651	dog
b000014739	dog
b000017348	dog
b000009308	dog
b000017622	dog
b000003816	dog
b000017626	dog
b000015881	dog
b000014738	dog
b000017459	dog
b000016012	dog
b000017451	dog
b000017658	pet
b000017564	pet
b000017662	pet
b000017383	pet
b000017493	pet
b000005288	pet
b000014270	pet
b000005698	pet
b000015998	pet
b000006557	pet
b000014703	pet
b000000170	pet
b000005287	pet
b000002543	pet
b000013777	pet
b000013675	pet
b000013775	pet
b000008465	pet
b000015098	pet
b000011779	pet
b000013779	pet
b000002270	pet
b000013673	pet
b000015095	pet
b000015008	pet
b000014651	pet
b000014739	pet
b000017577	pet
b000000182	pet
b000015882	pet
b000005311	pet
b000017622	pet
b000017161	pet
b000017572	pet
b000017623	pet
b000017389	pet
b000014586	pet
b000017626	pet
b000015881	pet
b000017252	pet
b000015908	pet
b000014738	pet
b000017459	pet
b000016012	pet
b000017451	pet
b000017325	cow
b000003127	cow
b000006897	cow
b000017118	cow
b000006899	cow
b000006904	cow
b000000169	cow
b000009309	cow
b000000143	cow
b000011903	cow
b000013021	cow
b000002049	cow
b000015725	cow
b000000258	cow
b000016877	cow
b000003121	cow
b000011770	cow
b000014232	cow
b000013962	cow
b000003129	cow
b000003132	cow
b000011992	cow
b000008679	cow
b000002040	cow
b000006166	cow
b000016687	cow
b000007230	cow
b000016922	cow
b000013032	cow
b000010358	cow
b000012758	cow
b000006898	cow
b000013919	cow
b000015763	cow
b000014979	cow
b000009120	cow
b000013316	cow
b000015679	cow
b000010898	cow
b000016969	cow
b000012759	cow
b000008673	cow
b000003989	cow
b000017067	cow
b000011996	cow
b000011660	cow
b000013920	cow
b000007232	cow
b000001785	cow
b000017326	cow
b000017094	cow
b000010450	cow
b000016595	cow
b000011652	cow
b000015678	cow
b000012864	cow
b000010259	cow
b000016843	cow
b000016628	cow
b000016882	cow
b000013217	cow
b000013960	cow
b000010265	cow
b000017099	cow
b000010266	cow
b000014233	cow
b000011664	cow
b000017119	cow
b000016596	cow
b000013453	cow
b000015208	cow
b000004563	cow
b000005842	cow
b000004540	cow
b000017032	deer
b000012878	deer
b000013213	deer
b000009662	deer
b000017031	deer
b000011772	deer
b000000073	deer
b000002680	deer
b000004977	deer
b000012866	deer
b000010901	deer
b000016573	deer
b000012869	deer
b000006911	deer
b000004974	deer
b000008385	deer
b000016623	deer
b000016324	deer
b000011902	deer
b000016235	deer
b000001002	deer
b000013313	deer
b000017065	deer
b000017029	deer
b000004448	deer
b000012870	deer
b000009105	deer
b000006918	deer
b000001009	deer
b000011653	deer
b000016995	deer
b000015206	deer
b000016281	deer
b000015724	deer
b000017000	deer
b000016994	deer
b000009680	deer
b000009685	deer
b000009128	deer
b000006334	deer
b000017030	deer
b000009686	deer
b000016335	deer
b000016970	deer
b000016921	ruminant
b000011110	ruminant
b000012865	ruminant
b000017032	ruminant
b000012878	ruminant
b000012881	ruminant
b000011772	ruminant
b000000073	ruminant
b000013021	ruminant
b000016877	ruminant
b000002680	ruminant
b000004977	ruminant
b000012866	ruminant
b000010901	ruminant
b000016573	ruminant
b000016570	ruminant
b000012869	ruminant
b000006911	ruminant
b000004539	ruminant
b000008385	ruminant
b000006166	ruminant
b000012882	ruminant
b000016237	ruminant
b000016687	ruminant
b000015762	ruminant
b000011902	ruminant
b000012758	ruminant
b000011047	ruminant
b000016235	ruminant
b000015679	ruminant
b000012759	ruminant
b000004448	ruminant
b000016686	ruminant
b000012870	ruminant
b000016923	ruminant
b000006918	ruminant
b000009123	ruminant
b000015765	ruminant
b000015287	ruminant
b000012887	ruminant
b000015206	ruminant
b000015724	ruminant
b000016575	ruminant
b000014981	ruminant
b000012762	ruminant
b000017119	ruminant
b000016921	herbivorous
b000010444	herbivorous
b000011110	herbivorous
b000006899	herbivorous
b000012881	herbivorous
b000011772	herbivorous
b000013021	herbivorous
b000002680	herbivorous
b000012866	herbivorous
b000010901	herbivorous
b000016573	herbivorous
b000003723	herbivorous
b000016570	herbivorous
b000012869	herbivorous
b000001292	herbivorous
b000006911	herbivorous
b000004539	herbivorous
b000014501	herbivorous
b000016237	herbivorous
b000015762	herbivorous
b000011902	herbivorous
b000012758	herbivorous
b000011047	herbivorous
b000009797	herbivorous
b000014456	herbivorous
b000012759	herbivorous
b000004448	herbivorous
b000006918	herbivorous
b000015765	herbivorous
b000013275	herbivorous
b000006732	herbivorous
b000012887	herbivorous
b000015206	herbivorous
b000015724	herbivorous
b000016575	herbivorous
b000014981	herbivorous
b000012762	herbivorous
b000017658	raccoon
