SequenceID	Type
c000014279	waterfowl
c000013661	waterfowl
c000014110	waterfowl
c000014242	waterfowl
c000001766	waterfowl
c000004387	waterfowl
c000010994	waterfowl
c000000136	waterfowl
c000000038	waterfowl
c000014187	waterfowl
c000004496	waterfowl
c000008669	waterfowl
c000014052	waterfowl
c000011093	waterfowl
c000001087	waterfowl
c000012237	waterfowl
c000007779	waterfowl
c000006318	waterfowl
c000003317	waterfowl
c000010471	waterfowl
c000013593	waterfowl
c000012958	waterfowl
c000000270	waterfowl
c000000277	waterfowl
c000008888	waterfowl
c000009215	waterfowl
c000008672	waterfowl
c000004500	waterfowl
c000007865	waterfowl
c000012933	waterfowl
c000013571	waterfowl
c000002813	waterfowl
c000009173	waterfowl
c000010204	waterfowl
c000001537	waterfowl
c000013569	waterfowl
c000012726	waterfowl
c000004506	waterfowl
c000008674	waterfowl
c000011035	waterfowl
c000014050	waterfowl
c000013595	waterfowl
c000014287	waterfowl
c000013093	cat
c000013262	cat
c000009717	cat
c000011146	cat
c000009214	cat
c000001088	cat
c000004696	cat
c000001534	cat
c000010057	cat
c000001899	cat
c000009618	cat
c000000089	cat
c000005658	cat
c000002919	cat
c000002047	cat
c000009788	cat
c000011147	cat
c000011987	cat
c000010030	cat
c000004905	cat
c000013070	cat
c000001370	cat
c000009787	cat
c000009620	cat
c000012465	cat
c000002123	cat
c000005439	cat
c000004703	cat
c000005146	cat
c000008402	cat
c000011148	cat
c000004238	cat
c000012332	cat
c000001379	cat
c000005429	cat
c000007777	cat
c000011151	cat
c000012241	cat
c000013163	cat
c000012401	cat
c000013164	cat
c000013920	dog
c000013093	dog
c000013262	dog
c000009717	dog
c000001364	dog
c000013894	dog
c000012805	dog
c000000023	dog
c000006160	dog
c000010058	dog
c000012582	dog
c000000125	dog
c000003514	dog
c000013131	dog
c000004497	dog
c000001526	dog
c000012527	dog
c000012727	dog
c000008568	dog
c000012269	dog
c000012529	dog
c000011062	dog
c000002914	dog
c000013092	dog
c000003516	dog
c000002723	dog
c000012330	dog
c000013822	dog
c000012528	dog
c000002722	dog
c000010394	dog
c000013791	dog
c000013930	dog
c000009727	dog
c000012812	dog
c000013903	dog
c000013920	pet
c000013093	pet
c000013262	pet
c000009717	pet
c000011146	pet
c000001364	pet
c000013894	pet
c000014187	pet
c000006160	pet
c000000080	pet
c000004696	pet
c000000125	pet
c000010057	pet
c000013131	pet
c000005658	pet
c000002919	pet
c000001526	pet
c000012237	pet
c000009787	pet
c000012465	pet
c000002123	pet
c000012527	pet
c000012269	pet
c000012529	pet
c000011062	pet
c000004703	pet
c000008827	pet
c000002914	pet
c000013092	pet
c000011199	pet
c000013822	pet
c000004238	pet
c000001379	pet
c000010392	pet
c000010394	pet
c000013903	pet
c000013359	cow
c000010666	cow
c000010711	cow
c000010669	cow
c000000007	cow
c000000034	cow
c000006827	cow
c000013364	cow
c000006166	cow
c000007205	cow
c000006988	cow
c000001907	cow
c000013477	cow
c000010715	cow
c000010829	cow
c000001767	cow
c000010892	cow
c000013496	cow
c000005652	cow
c000012024	cow
c000011871	cow
c000010717	cow
c000002118	cow
c000010619	cow
c000007981	cow
c000004819	cow
c000013450	cow
c000003817	cow
c000007016	cow
c000010895	cow
c000010837	cow
c000008805	cow
c000005651	cow
c000009979	cow
c000001153	cow
c000013363	cow
c000013883	cow
c000013501	cow
c000013500	cow
c000008807	cow
c000010672	cow
c000014209	cow
c000010922	cow
c000010921	cow
c000013032	cow
c000013033	cow
c000013359	deer
c000013499	deer
c000010666	deer
c000010711	deer
c000010669	deer
c000013476	deer
c000010781	deer
c000006827	deer
c000013364	deer
c000010715	deer
c000000119	deer
c000001767	deer
c000010892	deer
c000013496	deer
c000010893	deer
c000012187	deer
c000009564	deer
c000007203	deer
c000010574	deer
c000006830	deer
c000010713	deer
c000007981	deer
c000003324	deer
c000012156	deer
c000010780	deer
c000013450	deer
c000007974	deer
c000007016	deer
c000010895	deer
c000010837	deer
c000010778	deer
c000006772	deer
c000013363	deer
c000013328	deer
c000006496	deer
c000013883	deer
c000013501	deer
c000013500	deer
c000002259	deer
c000010832	deer
c000006770	deer
c000013359	ruminant
c000013329	ruminant
c000013499	ruminant
c000010666	ruminant
c000000068	ruminant
c000010711	ruminant
c000010669	ruminant
c000013476	ruminant
c000010781	ruminant
c000006827	ruminant
c000013364	ruminant
c000010870	ruminant
c000006988	ruminant
c000013477	ruminant
c000010715	ruminant
c000000119	ruminant
c000010829	ruminant
c000001767	ruminant
c000010892	ruminant
c000013496	ruminant
c000010893	ruminant
c000012187	ruminant
c000009564	ruminant
c000011462	ruminant
c000007203	ruminant
c000010574	ruminant
c000006830	ruminant
c000011871	ruminant
c000010717	ruminant
c000007981	ruminant
c000012156	ruminant
c000007448	ruminant
c000010780	ruminant
c000010895	ruminant
c000010837	ruminant
c000010778	ruminant
c000006772	ruminant
c000008805	ruminant
c000013363	ruminant
c000013328	ruminant
c000006496	ruminant
c000013883	ruminant
c000013501	ruminant
c000013500	ruminant
c000008807	ruminant
c000010672	ruminant
c000006770	ruminant
c000013359	herbivorous
c000013329	herbivorous
c000013499	herbivorous
c000010711	herbivorous
c000010669	herbivorous
c000010781	herbivorous
c000006827	herbivorous
c000013364	herbivorous
c000006988	herbivorous
c000010715	herbivorous
c000010829	herbivorous
c000001767	herbivorous
c000010892	herbivorous
c000013496	herbivorous
c000010893	herbivorous
c000012186	herbivorous
c000012187	herbivorous
c000006997	herbivorous
c000011462	herbivorous
c000002118	herbivorous
c000004615	herbivorous
c000010612	herbivorous
c000007981	herbivorous
c000007448	herbivorous
c000007015	herbivorous
c000010780	herbivorous
c000010895	herbivorous
c000010778	herbivorous
c000007005	herbivorous
c000006772	herbivorous
c000013363	herbivorous
c000006496	herbivorous
c000013883	herbivorous
c000013500	herbivorous
c000010439	herbivorous
c000013048	herbivorous
c000014279	raccoon
c000013188	raccoon
c000010342	raccoon
c000010143	raccoon
c000008494	raccoon
c000013997	raccoon
c000014077	raccoon
c000013622	raccoon
c000000101	raccoon
c000000115	raccoon
c000003114	raccoon
c000000482	raccoon
c000000281	raccoon
c000000884	raccoon
c000010507	raccoon
c000008991	raccoon
c000005272	raccoon
c000011026	raccoon
c000012958	raccoon
c000014163	raccoon
c000000491	raccoon
c000010140	raccoon
c000012768	raccoon
c000005284	raccoon
c000008570	raccoon
c000010275	raccoon
c000002813	raccoon
c000010344	raccoon
c000012932	raccoon
c000013152	raccoon
c000011032	raccoon
c000004236	raccoon
c000014142	raccoon
c000002248	raccoon
c000014034	raccoon
c000010508	raccoon
c000013626	raccoon
c000009824	horse
c000007006	horse
c000007219	horse
c000000073	horse
c000004695	horse
c000012061	horse
c000003320	horse
c000012186	horse
c000007211	horse
c000006997	horse
c000005668	horse
c000004621	horse
c000010612	horse
c000012188	horse
c000009827	horse
c000007015	horse
c000011915	horse
c000010434	horse
c000012402	horse
c000008097	horse
c000007451	horse
c000012389	horse
c000007023	horse
c000012628	horse
c000011454	horse
c000005972	horse
c000005654	horse
c000008120	horse
c000012630	horse
c000011561	horse
c000013866	horse
c000006332	horse
c000003536	horse
c000011566	horse
c000007012	horse
c000010537	horse
c000013069	horse
c000012096	horse
c000001363	horse
c000011914	horse
c000013806	horse
c000002053	horse
c000003223	horse
c000011463	horse
c000012031	horse
c000013810	horse
c000013867	horse
c000013845	horse
c000014265	horse
c000013794	horse
c000003219	pig
c000009469	pig
c000014207	pig
