SequenceID	Type
b000003133	cat
b000008405	cat
b000018878	cat
b000007165	cat
b000018091	cat
b000010289	cat
b000018757	cat
b000017116	cat
b000007174	cat
b000020689	cat
b000020868	cat
b000019097	cat
b000020872	cat
b000020773	cat
b000020708	cat
b000020730	cat
b000020796	cat
b000012571	cat
b000020709	cat
b000020737	cat
b000020622	cat
b000020863	cat
b000020721	cat
b000020652	cat
b000020867	cat
b000020909	cat
b000020699	cat
b000020589	cat
b000020573	cat
b000020666	cat
b000020706	cat
b000020781	cat
b000020623	cat
b000020835	cat
b000020725	cat
b000020782	cat
b000020662	cat
b000020791	cat
b000006374	cat
b000020587	cat
b000020579	cat
b000020754	cat
b000020874	cat
b000020654	cat
b000020757	cat
b000020651	cat
b000020825	cat
b000020798	cat
b000020598	cat
b000020866	cat
b000020583	cat
b000000100	cat
b000020628	cat
b000003148	cat
b000008402	dog
b000006726	dog
b000017979	dog
b000017429	dog
b000007752	dog
b000008423	dog
b000006228	dog
b000001549	dog
b000017981	dog
b000010288	dog
b000020326	dog
b000020739	dog
b000014653	dog
b000017443	dog
b000007781	dog
b000020325	dog
b000017434	dog
b000006715	dog
b000020223	dog
b000006236	dog
b000020247	dog
b000020189	dog
b000020804	dog
b000020902	dog
b000016984	dog
b000020565	dog
b000020612	dog
b000020606	dog
b000020648	dog
b000020627	dog
b000020695	dog
b000020778	dog
b000020764	dog
b000020914	dog
b000020848	dog
b000020697	dog
b000003134	pet
b000008402	pet
b000008405	pet
b000017979	pet
b000017429	pet
b000020840	pet
b000019095	pet
b000020831	pet
b000018794	pet
b000020775	pet
b000020659	pet
b000020653	pet
b000020728	pet
b000020619	pet
b000012570	pet
b000020650	pet
b000020600	pet
b000020570	pet
b000020844	pet
b000020772	pet
b000020749	pet
b000020899	pet
b000020679	pet
b000020713	pet
b000020684	pet
b000020794	pet
b000020615	pet
b000020648	pet
b000020575	pet
b000020716	pet
b000020862	pet
b000020870	pet
b000020743	pet
b000020596	pet
b000020636	pet
b000020903	pet
b000020878	pet
b000020676	pet
b000020703	pet
b000020913	pet
b000020597	pet
b000020873	pet
b000020601	pet
b000020768	pet
b000003137	pet
b000020891	pet
b000020871	pet
b000020620	pet
b000020609	pet
b000020598	pet
b000020800	pet
b000020638	pet
b000020681	pet
b000003134	cow
b000003133	cow
b000017699	cow
b000004627	cow
b000015752	cow
b000019028	cow
b000017660	cow
b000020333	cow
b000005085	cow
b000019391	cow
b000009373	cow
b000018566	cow
b000015395	cow
b000015671	cow
b000020263	cow
b000015465	cow
b000005418	cow
b000003399	cow
b000001544	cow
b000005413	cow
b000011998	cow
b000013608	cow
b000002149	cow
b000017595	cow
b000006724	cow
b000019042	cow
b000017773	cow
b000020567	cow
b000011340	cow
b000014434	cow
b000005088	cow
b000013556	cow
b000011365	cow
b000020607	cow
b000001784	cow
b000017898	cow
b000018922	cow
b000012130	cow
b000013297	cow
b000005372	cow
b000018967	cow
b000013724	cow
b000016997	cow
b000016998	cow
b000015688	cow
b000013607	cow
b000016964	cow
b000019328	cow
b000017661	cow
b000000138	cow
b000012174	cow
b000013633	cow
b000020735	cow
b000016965	cow
b000013699	cow
b000019659	cow
b000020335	cow
b000012479	cow
b000012131	cow
b000015186	cow
b000020462	cow
b000014985	cow
b000020677	cow
b000007368	cow
b000020887	cow
b000020762	cow
b000017666	cow
b000017768	cow
b000019237	deer
b000011785	deer
b000017220	deer
b000005653	deer
b000000881	deer
b000017218	deer
b000017966	deer
b000011888	deer
b000013609	deer
b000012600	deer
b000006904	deer
b000017296	deer
b000012426	deer
b000013604	deer
b000015391	deer
b000003404	deer
b000016084	deer
b000001261	deer
b000015407	deer
b000019756	deer
b000004774	deer
b000014536	deer
b000004631	deer
b000002803	deer
b000007893	deer
b000017302	deer
b000012599	deer
b000017702	deer
b000012746	deer
b000015352	deer
b000020262	deer
b000019753	deer
b000019006	deer
b000020852	deer
b000015390	deer
b000016609	deer
b000014479	deer
b000020484	deer
b000020876	deer
b000017237	deer
b000005672	deer
b000011982	deer
b000001124	deer
b000011341	deer
b000005697	deer
b000019237	ruminant
b000011785	ruminant
b000017220	ruminant
b000005653	ruminant
b000000881	ruminant
b000017218	ruminant
b000011888	ruminant
b000013609	ruminant
b000012600	ruminant
b000006904	ruminant
b000017296	ruminant
b000012426	ruminant
b000013604	ruminant
b000015391	ruminant
b000003404	ruminant
b000016084	ruminant
b000001261	ruminant
b000015407	ruminant
b000019756	ruminant
b000004774	ruminant
b000014536	ruminant
b000004631	ruminant
b000002803	ruminant
b000007893	ruminant
b000017302	ruminant
b000012599	ruminant
b000017702	ruminant
b000012746	ruminant
b000015352	ruminant
b000020262	ruminant
b000019753	ruminant
b000019006	ruminant
b000020852	ruminant
b000015390	ruminant
b000016609	ruminant
b000014479	ruminant
b000020484	ruminant
b000020876	ruminant
b000017237	ruminant
b000005672	ruminant
b000011982	ruminant
b000001124	ruminant
b000011341	ruminant
b000005697	ruminant
b000014060	pig
b000005082	pig
b000005188	pig
b000011484	pig
b000000373	pig
b000002696	pig
b000019437	pig
b000014062	pig
b000005510	pig
b000000130	pig
