SequenceID	Type
c000050037	cat
c000048698	cat
c000032546	cat
c000005135	cat
c000050038	cat
c000023038	cat
c000040643	cat
c000032677	cat
c000029683	cat
c000050036	cat
c000015686	cat
c000046687	cat
c000049370	cat
c000023039	cat
c000048070	cat
c000051948	cat
c000012942	cat
c000048699	cat
c000050176	cat
c000051203	cat
c000045626	cat
c000051988	cat
c000048703	cat
c000038040	cat
c000051204	cat
c000051635	cat
c000045776	cat
c000040315	cat
c000053214	cat
c000053282	cat
c000053393	cat
c000050396	cat
c000050376	cat
c000052021	cat
c000033416	cat
c000009703	cat
c000047991	cat
c000032765	cat
c000045629	cat
c000053373	cat
c000007778	dog
c000040399	dog
c000033486	dog
c000023147	dog
c000035464	dog
c000045336	dog
c000022898	dog
c000040641	dog
c000033832	dog
c000047668	dog
c000040700	dog
c000053405	dog
c000012954	dog
c000018244	dog
c000033482	dog
c000005747	dog
c000032679	dog
c000046637	dog
c000046733	dog
c000037209	dog
c000050103	dog
c000042802	dog
c000046503	dog
c000049924	dog
c000049923	dog
c000032554	dog
c000048136	dog
c000053279	dog
c000052764	dog
c000053403	dog
c000008345	dog
c000050397	dog
c000008040	dog
c000005738	dog
c000050377	dog
c000040628	dog
c000013762	dog
c000046135	dog
c000029691	dog
c000053223	dog
c000053248	dog
c000053390	dog
c000053258	dog
c000031315	dog
c000049105	dog
c000053230	dog
c000030453	dog
c000047007	dog
c000042771	dog
c000033833	dog
c000030447	dog
c000042800	dog
c000053219	dog
c000053364	dog
c000053306	dog
c000053213	dog
c000007815	dog
c000053375	dog
c000053415	dog
c000005811	dog
c000053401	dog
c000053243	dog
c000053383	dog
c000005972	dog
c000053336	dog
c000053220	dog
c000053285	dog
c000053233	dog
c000053360	dog
c000053320	dog
c000014830	dog
c000053292	dog
c000053363	dog
c000053286	dog
c000053212	dog
c000053371	dog
c000053345	dog
c000007780	pet
c000018590	pet
c000001641	pet
c000007778	pet
c000008313	pet
c000008316	pet
c000040575	pet
c000001643	pet
c000018501	pet
c000001850	pet
c000040642	pet
c000035464	pet
c000018965	pet
c000045336	pet
c000022898	pet
c000040696	pet
c000018038	pet
c000040641	pet
c000027466	pet
c000005135	pet
c000053405	pet
c000008346	pet
c000018909	pet
c000018313	pet
c000005747	pet
c000049543	pet
c000040576	pet
c000027202	pet
c000040769	pet
c000041547	pet
c000037209	pet
c000050103	pet
c000021674	pet
c000019071	pet
c000041522	pet
c000018439	pet
c000052147	pet
c000027773	pet
c000049923	pet
c000042331	pet
c000027270	pet
c000042834	pet
c000052023	pet
c000053403	pet
c000018702	pet
c000041586	pet
c000045345	pet
c000008345	pet
c000019072	pet
c000053389	pet
c000018834	pet
c000053384	pet
c000040466	pet
c000021576	pet
c000023654	pet
c000053341	pet
c000015703	pet
c000013319	pet
c000053350	pet
c000008330	pet
c000022819	pet
c000053247	pet
c000053357	pet
c000053254	pet
c000053325	pet
c000053250	pet
c000001852	pet
c000053413	pet
c000053395	pet
c000053218	pet
c000018374	pet
c000053316	pet
c000053255	pet
c000053387	pet
c000053407	pet
c000053287	pet
c000053264	pet
c000053275	pet
c000053251	pet
c000053238	pet
c000007543	pet
c000053349	pet
c000053261	pet
c000053373	pet
c000035464	cow
c000040696	cow
c000040700	cow
c000023862	cow
c000051473	cow
c000042449	cow
c000051687	cow
c000028433	cow
c000042895	cow
c000053302	cow
c000051477	cow
c000050653	cow
c000052337	cow
c000042024	cow
c000051079	cow
c000036719	cow
c000026861	cow
c000007414	cow
c000053011	cow
c000029487	cow
c000029974	cow
c000047614	cow
c000053005	cow
c000040866	cow
c000040749	cow
c000001182	cow
c000047025	cow
c000029120	cow
c000047026	cow
c000045083	cow
c000018705	cow
c000048574	cow
c000049417	cow
c000022609	cow
c000045525	cow
c000044856	cow
c000030100	cow
c000046693	cow
c000053396	cow
c000021828	cow
c000053257	cow
c000053270	cow
c000053392	cow
c000034515	cow
c000051080	cow
c000053419	cow
c000018602	deer
c000046028	deer
c000010513	deer
c000050101	deer
c000050104	deer
c000012310	deer
c000026378	deer
c000026242	deer
c000051045	deer
c000010522	deer
c000050214	deer
c000030847	deer
c000021183	deer
c000020314	deer
c000019826	deer
c000030540	deer
c000002112	deer
c000033496	deer
c000052403	deer
c000043809	deer
c000027980	deer
c000051781	deer
c000009032	deer
c000044456	deer
c000009722	deer
c000039221	deer
c000044160	deer
c000050572	deer
c000018915	deer
c000049668	deer
c000044239	deer
c000003079	deer
c000015720	deer
c000019362	deer
c000053333	deer
c000038813	deer
c000021981	deer
c000039160	deer
c000005008	deer
c000030233	deer
c000034560	deer
c000019566	deer
c000018602	ruminant
c000046028	ruminant
c000010513	ruminant
c000050101	ruminant
c000050104	ruminant
c000012310	ruminant
c000026378	ruminant
c000026242	ruminant
c000051045	ruminant
c000010522	ruminant
c000050214	ruminant
c000030847	ruminant
c000021183	ruminant
c000020314	ruminant
c000019826	ruminant
c000030540	ruminant
c000002112	ruminant
c000033496	ruminant
c000052403	ruminant
c000043809	ruminant
c000027980	ruminant
c000051781	ruminant
c000009032	ruminant
c000044456	ruminant
c000009722	ruminant
c000039221	ruminant
c000044160	ruminant
c000050572	ruminant
