SequenceID	Type
b000000002	dog
b000005580	dog
b000007204	dog
b000002504	dog
b000012476	dog
b000002505	dog
b000000128	dog
b000006544	dog
b000019589	dog
b000019507	dog
b000019605	dog
b000000192	dog
b000019584	dog
b000006276	dog
b000019585	dog
b000019298	dog
b000019653	dog
b000000089	dog
b000019397	dog
b000006548	dog
b000019698	dog
b000019593	dog
b000019550	dog
b000019517	dog
b000019387	dog
b000000086	dog
b000019343	dog
b000019334	dog
b000019669	dog
b000019516	dog
b000019463	dog
b000000162	dog
b000019311	dog
b000019416	dog
b000009068	dog
b000019462	dog
b000019529	dog
b000019317	dog
b000019418	dog
b000019632	dog
b000018042	deer
b000001990	deer
b000008369	deer
b000013986	deer
b000013589	deer
b000005957	deer
b000006764	deer
b000014758	deer
b000006945	deer
b000017299	deer
b000012074	deer
b000006136	deer
b000009728	deer
b000016418	deer
b000007344	deer
b000000436	deer
b000017302	deer
b000018534	deer
b000017345	deer
b000011252	deer
b000012071	deer
b000016762	deer
b000011034	deer
b000013632	deer
b000013634	deer
b000013932	deer
b000015395	deer
b000014963	deer
b000017346	deer
b000006138	deer
b000019587	deer
b000019421	deer
b000015273	deer
b000013388	deer
b000016292	deer
b000002302	deer
b000017344	deer
b000005160	deer
b000017170	deer
b000019684	deer
b000005516	deer
b000016416	deer
b000019568	deer
b000006139	deer
b000006445	deer
b000018735	deer
b000003065	deer
b000013519	deer
b000015278	deer
b000017554	pig
b000013675	pig
b000000062	pig
b000005954	pig
b000006339	pig
b000014381	pig
b000019128	pig
b000017556	pig
b000000112	pig
b000000976	pig
b000018138	pig
b000007338	pig
b000014307	pig
b000018037	pig
b000006326	pig
b000013657	pig
b000010058	pig
b000019261	pig
b000015555	pig
b000005201	pig
b000017552	pig
b000005380	pig
b000000070	pig
b000019164	pig
b000000429	pig
b000016048	pig
b000002227	pig
b000013707	pig
b000000175	pig
b000007347	pig
b000016052	pig
b000011865	pig
b000005968	pig
b000013703	pig
b000018240	pig
b000018433	pig
b000016234	pig
b000015556	pig
b000019500	pig
b000019148	pig
b000002816	pig
b000004008	pig
b000016218	pig
b000014353	pig
b000008142	pig
b000000205	pig
b000009574	pig
b000018226	pig
b000019262	pig
b000018927	pig
b000016264	pig
b000018432	pig
b000016261	pig
b000018637	pig
b000006904	pig
b000013819	pig
b000018244	pig
b000001917	pig
b000014822	pig
b000004010	pig
b000018241	pig
b000019636	pig
b000019426	pig
b000011265	pig
b000005610	pig
b000005212	pig
b000000201	pig
b000019548	pig
b000012191	pig
b000018639	pig
b000013417	pig
b000001857	pig
b000015557	pig
b000013418	pig
b000019686	pig
b000014650	pig
b000001561	pig
b000017857	pig
b000013704	pig
b000002509	sewage
b000012481	sewage
b000004506	sewage
b000009640	sewage
b000000204	sewage
b000005044	sewage
b000007587	sewage
b000004170	sewage
b000002988	sewage
b000005037	sewage
b000004607	sewage
b000004738	sewage
b000015396	sewage
b000011151	sewage
b000005868	sewage
b000006765	sewage
b000009382	sewage
b000002798	sewage
b000003000	sewage
b000011153	sewage
b000016889	sewage
b000012997	sewage
b000001507	sewage
b000005958	sewage
b000007581	sewage
b000006682	sewage
b000016890	sewage
b000007742	sewage
b000008986	sewage
b000014118	sewage
b000013353	sewage
b000018484	sewage
b000004749	sewage
b000005310	sewage
b000013352	sewage
b000008506	sewage
b000001544	sewage
b000001140	sewage
b000004767	sewage
b000001744	sewage
b000018373	sewage
b000000641	sewage
b000001750	sewage
b000009059	sewage
b000019616	sewage
b000019640	sewage
b000001536	sewage
b000012313	sewage
b000018359	sewage
b000019368	sewage
b000005869	sewage
b000017281	sewage
b000005521	sewage
b000001511	sewage
b000018695	sewage
b000017277	sewage
b000013386	sewage
b000001564	sewage
b000008212	sewage
b000001745	sewage
b000000661	sewage
b000018350	sewage
b000013021	sewage
b000013010	sewage
b000002811	sewage
b000019241	sewage
b000009647	sewage
b000012995	sewage
b000017364	sewage
b000015345	sewage
b000018364	sewage
b000002812	sewage
b000018361	sewage
b000019503	sewage
b000013018	sewage
b000011477	sewage
b000019526	sewage
b000000817	sewage
b000001758	sewage
b000017279	sewage
b000014611	sewage
b000018485	sewage
b000019561	sewage
b000015388	sewage
b000000468	sewage
b000002805	sewage
b000012894	sewage
b000019361	sewage
b000012498	sewage
b000004187	sewage
b000018374	sewage
b000011159	sewage
b000003646	sewage
b000014664	sewage
b000015387	sewage
b000001522	sewage
b000018380	sewage
b000019472	sewage
b000006694	sewage
b000013387	sewage
