SequenceID	Type
c000012421	dog
c000050553	dog
c000012425	dog
c000041349	dog
c000016496	dog
c000056130	dog
c000050485	dog
c000044539	dog
c000015755	dog
c000014240	dog
c000050614	dog
c000044004	dog
c000055955	dog
c000043819	dog
c000042288	dog
c000050897	dog
c000042857	dog
c000026929	dog
c000045336	dog
c000041357	dog
c000034577	dog
c000035474	dog
c000012424	dog
c000049932	dog
c000053748	dog
c000023841	dog
c000012438	dog
c000036874	dog
c000054435	dog
c000023331	dog
c000012451	dog
c000041589	dog
c000042030	dog
c000024430	dog
c000046063	dog
c000039441	dog
c000018632	dog
c000046038	dog
c000050562	dog
c000049640	dog
c000027681	dog
c000014313	dog
c000012426	dog
c000004496	dog
c000057188	dog
c000057234	dog
c000057191	dog
c000031086	dog
c000036505	dog
c000050556	dog
c000031083	dog
c000057263	dog
c000018228	dog
c000057125	dog
c000057225	dog
c000057103	dog
c000041047	dog
c000057267	dog
c000057243	dog
c000057235	dog
c000057135	dog
c000057180	dog
c000057112	dog
c000057134	dog
c000032139	dog
c000057261	dog
c000057173	dog
c000050558	dog
c000057093	dog
c000057179	dog
c000012672	dog
c000051841	dog
c000057139	dog
c000057138	dog
c000050318	dog
c000012358	dog
c000057239	dog
c000057198	dog
c000057064	dog
c000057251	dog
c000057201	dog
c000057107	dog
c000000210	dog
c000032145	dog
c000057178	dog
c000057054	dog
c000057120	dog
c000057057	dog
c000057146	dog
c000057136	dog
c000057177	dog
c000057118	dog
c000008817	deer
c000039826	deer
c000034403	deer
c000043822	deer
c000040707	deer
c000041688	deer
c000043522	deer
c000027150	deer
c000041557	deer
c000056883	deer
c000041708	deer
c000055173	deer
c000054893	deer
c000050317	deer
c000048450	deer
c000019154	deer
c000030651	deer
c000015630	deer
c000051428	deer
c000025962	deer
c000041665	deer
c000048447	deer
c000057266	deer
c000021906	deer
c000047081	deer
c000057281	deer
c000047498	deer
c000035267	deer
c000010558	deer
c000032796	deer
c000001389	deer
c000022306	deer
c000022171	deer
c000002525	deer
c000017456	deer
c000033366	deer
c000031562	deer
c000018321	deer
c000039116	deer
c000008082	deer
c000009764	deer
c000017355	deer
c000047495	deer
c000032725	deer
c000048049	deer
c000046323	deer
c000032355	deer
c000055322	deer
c000054321	deer
c000027956	deer
c000057161	deer
c000048567	deer
c000016503	pig
c000020841	pig
c000009771	pig
c000005357	pig
c000006132	pig
c000032535	pig
c000028727	pig
c000036564	pig
c000049590	pig
c000028513	pig
c000023854	pig
c000025329	pig
c000052270	pig
c000022693	pig
c000026107	pig
c000023068	pig
c000024540	pig
c000044455	pig
c000022014	pig
c000044457	pig
c000030882	pig
c000046893	pig
c000025255	pig
c000056505	pig
c000006129	pig
c000022010	pig
c000047243	pig
c000040291	pig
c000041861	pig
c000006925	pig
c000045406	pig
c000051357	pig
c000002484	pig
c000050043	pig
c000004526	pig
c000021391	pig
c000056423	pig
c000014796	pig
c000052271	pig
c000005627	pig
c000021285	pig
c000027920	pig
c000052200	pig
c000034586	pig
c000031913	pig
c000001735	pig
c000021388	pig
c000046091	pig
c000031893	pig
c000048862	pig
c000006157	pig
c000001254	pig
c000003010	pig
c000036750	pig
c000007866	pig
c000021974	pig
c000053304	pig
c000048652	pig
c000022742	pig
c000009983	pig
c000028568	pig
c000043292	pig
c000023715	pig
c000022012	pig
c000027856	pig
c000035803	pig
c000003005	pig
c000054405	pig
c000044545	pig
c000043949	pig
c000000448	pig
c000001581	pig
c000055189	pig
c000033787	pig
c000004128	pig
c000057061	pig
c000045914	pig
c000026998	pig
c000039088	pig
c000007196	pig
c000052295	pig
c000038148	pig
c000057226	pig
c000015754	pig
c000056170	pig
c000015457	pig
c000015029	pig
c000043732	pig
c000052860	pig
c000042668	pig
c000034321	pig
c000015094	pig
c000046734	pig
c000031877	pig
c000039137	pig
c000047246	pig
c000024056	pig
c000050955	sewage
c000051412	sewage
c000015767	sewage
c000023783	sewage
c000016497	sewage
c000026494	sewage
c000026498	sewage
c000036413	sewage
c000050957	sewage
c000015787	sewage
c000056543	sewage
c000055749	sewage
c000015759	sewage
c000041351	sewage
c000055772	sewage
c000046416	sewage
c000051232	sewage
c000056795	sewage
c000027941	sewage
c000035872	sewage
c000040018	sewage
c000055351	sewage
c000035971	sewage
c000045800	sewage
c000045192	sewage
c000057151	sewage
c000040840	sewage
c000020421	sewage
c000025057	sewage
c000050486	sewage
c000016553	sewage
c000055771	sewage
c000044295	sewage
c000054128	sewage
c000055850	sewage
c000054630	sewage
c000045686	sewage
c000052054	sewage
c000036062	sewage
c000043468	sewage
c000050959	sewage
c000014248	sewage
c000040820	sewage
c000046400	sewage
c000025054	sewage
c000052624	sewage
c000036126	sewage
c000008309	sewage
c000043737	sewage
c000051326	sewage
c000030342	sewage
c000046414	sewage
c000054628	sewage
c000057167	sewage
c000036973	sewage
c000020422	sewage
c000045496	sewage
c000041238	sewage
c000039640	sewage
c000056003	sewage
c000051241	sewage
c000032332	sewage
c000015753	sewage
c000057262	sewage
c000043708	sewage
c000055750	sewage
c000006461	sewage
c000046037	sewage
c000057131	sewage
c000014475	sewage
c000026761	sewage
c000014305	sewage
c000041398	sewage
c000044591	sewage
c000040133	sewage
c000045194	sewage
c000007210	sewage
c000055773	sewage
c000040137	sewage
c000040898	sewage
c000057187	sewage
c000055890	sewage
c000051063	sewage
c000023789	sewage
c000053721	sewage
c000053415	sewage
c000040839	sewage
c000055630	sewage
c000050968	sewage
c000036060	sewage
c000040899	sewage
c000050961	sewage
c000050996	sewage
c000015458	sewage
c000043636	sewage
c000046159	sewage
c000031463	sewage
c000041359	sewage
c000030215	sewage
c000029755	sewage
c000042299	sewage
c000055227	sewage
c000014259	sewage
c000038045	sewage
c000055724	sewage
c000044327	sewage
c000025565	sewage
c000027418	sewage
c000046424	sewage
c000053284	sewage
c000026452	sewage
c000053720	sewage
c000036432	sewage
c000051413	sewage
c000009777	sewage
c000044456	sewage
c000009916	sewage
c000004478	sewage
c000051325	sewage
c000039768	sewage
c000057129	sewage
c000024506	sewage
c000056540	sewage
c000053378	sewage
c000025705	sewage
c000057272	sewage
c000057217	sewage
c000044592	sewage
c000026935	sewage
c000040822	sewage
c000051384	sewage
c000045695	sewage
c000055778	sewage
c000044594	sewage
c000045115	sewage
c000015443	sewage
c000015992	sewage
c000055755	sewage
c000027945	sewage
c000056838	cow
c000028515	cow
c000052733	cow
c000056836	cow
c000052496	cow
c000001253	cow
c000056839	cow
c000009426	cow
c000056758	cow
c000032648	cow
c000053042	cow
c000054917	cow
c000001045	cow
c000048956	cow
c000047278	cow
c000047296	cow
c000051289	cow
c000051158	cow
c000000345	cow
c000018309	cow
c000029665	cow
c000017997	cow
c000055813	cow
c000053541	cow
c000041705	cow
c000051758	cow
c000047349	cow
c000057088	cow
c000036124	cow
c000030649	cow
c000017126	cow
c000028624	cow
c000056965	cow
c000055158	cow
c000030325	cow
c000055913	cow
c000055934	cow
c000052960	cow
c000053493	cow
c000044725	cow
c000057176	cow
c000019963	cow
c000050831	cow
c000057230	cow
c000008817	herbivore
c000008830	herbivore
c000010717	herbivore
c000029022	herbivore
c000028210	herbivore
c000044004	herbivore
c000031314	herbivore
c000009438	herbivore
c000045377	herbivore
c000041823	herbivore
c000044037	herbivore
c000045378	herbivore
c000034879	herbivore
c000028631	herbivore
c000020482	herbivore
c000030933	herbivore
c000028512	herbivore
c000038421	herbivore
c000056704	herbivore
c000022647	herbivore
c000048019	herbivore
c000051931	herbivore
c000018259	herbivore
c000031315	herbivore
c000021522	herbivore
c000031280	herbivore
c000004218	herbivore
c000041650	herbivore
c000049157	herbivore
c000056758	herbivore
c000046594	herbivore
c000057200	herbivore
c000057152	herbivore
c000008857	herbivore
c000028765	herbivore
c000031317	herbivore
c000033275	herbivore
c000027497	herbivore
c000041856	herbivore
c000008819	herbivore
c000029135	herbivore
