Bird	Cat	Dog	Pet	Cow	Deer	Ruminant	Rabbit	Pig	Sewage
UnknownSample50	0.618812028162059	1	0.740972589076693	0.968529100096855	0.832104030510184	0.582310034605934	0.631947172914681	1	0.683316231558282	0.606278407792911
UnknownSample13	0.879600723031451	0.876159827966971	0.986522022179904	0.998155082329472	0.615743102808763	0.626974284618809	0.405426055876468	0.973493732666807	0.774278032564901	0.610596032084637
UnknownSample10	0.405784131975839	0.94282092880041	0.633379481089919	0.904033396104883	0.98647348097613	0.791795324117908	1	0.66593234496514	0.665842289452346	0.918288209323843
UnknownSample34	0.583186122986536	0.835253284598169	0.633379481089919	0.992808034014343	0.98647348097613	1	1	0.640651807665622	0.683316231558282	0.606278407792911
UnknownSample11	0.583186122986536	0.360781816949122	0.456054577087609	0.399040499662609	0.98647348097613	1	1	1	0.683316231558282	0.606278407792911
UnknownSample26	0.608126069897247	0.824793746619703	0.468876430417398	0.805849674259534	0.98647348097613	1	1	1	0.683316231558282	0.627781185802438
UnknownSample40	0.843439050085114	0.936597864117277	0.942786716629087	0.992620950275662	0.616216202831071	1	0.417958852563374	1	0.67149710991091	0.606941061324403
UnknownSample08	0.611266437203271	0.607957322118445	0.439464391046514	0.748832130399885	0.912718249319986	1	0.800556014173436	1	0.671846480206106	0.657401601281342
UnknownSample27	0.620628595099151	1	0.913177817747669	0.95535386953032	0.98647348097613	1	1	1	0.683316231558282	0.606278407792911
UnknownSample29	0.583186122986536	0.359441317844175	0.439043846592084	0.417728059435515	0.98647348097613	1	1	1	0.683316231558282	0.606278407792911
UnknownSample16	0.583186122986536	0.568030078391156	0.633379481089919	0.992421873989629	0.98647348097613	1	1	0.63920036761769	0.683316231558282	0.606278407792911
UnknownSample49	0.721962300081872	1	0.829861477965582	0.978423967134579	0.674806798703196	1	0.465714714376668	1	0.659591190044859	0.606278407792911
UnknownSample52	0.583186122986536	1	0.633379481089919	0.971805103372858	0.98647348097613	1	1	0.649398276182205	0.683316231558282	0.606278407792911
UnknownSample56	0.370533382294107	0.413996938248771	0.543287712685013	0.568253200683123	0.572875712150025	0.444565932951188	0.416490904400623	0.620601101364044	0.424670936558134	0.687472602884884
UnknownSample17	0.605949838362536	0.652950857149641	0.452720610622058	0.767350648918404	0.98647348097613	1	0.800556014173436	1	0.685755255948526	0.651368390939713
UnknownSample28	0.41177426867415	0.939631712952966	0.633379481089919	0.897760994671192	0.98647348097613	1	1	0.66593234496514	0.676718030907307	0.817191446940592
UnknownSample04	0.888168326779778	0.876159827966971	0.989546215728291	0.998508401037632	0.61387936168652	0.623034546735492	0.406375168781016	0.973493732666807	0.814203317161697	0.613391272840228
UnknownSample19	0.405613566834811	0.939115672701826	0.633379481089919	0.901477684713268	0.98647348097613	0.991795324117908	1	0.66593234496514	0.679040911278968	0.871346333976039
UnknownSample54	0.559413317983273	1	0.740972589076693	0.95535386953032	0.98647348097613	1	1	1	0.683316231558282	0.606278407792911
UnknownSample07	0.583186122986536	0.529892911827306	0.520866917824304	0.992670700948252	0.98647348097613	1	1	0.638948849141786	0.683316231558282	0.606278407792911
UnknownSample22	0.876714720145448	0.876159827966971	0.977119949246681	0.997113917341466	0.614961832149719	0.660553727246821	0.406355686795782	0.973493732666807	0.731258146564545	0.607892355083916
UnknownSample57	0.385783830124856	0.538008114422244	0.54620039294669	0.579753996843927	0.612594464432976	0.636808733616897	0.395871040330656	0.603346761688237	0.427429794382466	0.902272743016156
UnknownSample44	0.583704815958981	0.9270958887326	0.542745740096793	0.902057936851498	0.98647348097613	1	1	1	0.683316231558282	0.590653683798141
UnknownSample61	0.406621067484403	0.941350531966802	0.513550735988642	0.904844926371905	0.908951222295835	0.767344512213769	0.970426114663175	0.66593234496514	0.946072936645881	0.938006025999168
UnknownSample35	0.593936325101019	0.863693752849877	0.521717583935663	0.867253183031464	0.98647348097613	1	1	1	0.683316231558282	0.612109844901553
UnknownSample12	0.911626506404226	0.730606930676783	0.574456337590429	0.620961042514883	0.98647348097613	1	0.853628523335825	1	0.683316231558282	0.840127357185696
UnknownSample37	0.410879645797909	0.939289949453308	0.633379481089919	0.891936621911335	0.98647348097613	1	1	0.66593234496514	0.683316231558282	0.761377544346045
UnknownSample48	0.604189736134506	0.8371797897364	0.566036166751553	0.681328832125635	0.98647348097613	1	1	1	0.683316231558282	0.609640649358613
UnknownSample32	0.728134828222226	0.909636797512501	0.904691478533848	0.991369443832721	0.708151249692177	0.448951475958823	0.538698373992749	0.885542355679785	0.661658373507392	0.608979546129781
UnknownSample05	0.773481442744541	0.878278687828994	0.95578913248414	0.995675066469341	0.700271040887301	0.447204803164217	0.52925169272901	0.853224522955344	0.719447471468988	0.635185010042107
UnknownSample36	0.607517269487825	1	0.900972589076694	0.95535386953032	0.98647348097613	1	1	1	0.683316231558282	0.606278407792911
UnknownSample24	0.492659084575884	1	0.80763925574336	0.995553441875295	0.875773451152271	0.749154687983465	0.758957657320204	0.831592906576249	0.442274161067602	0.606278407792911
UnknownSample09	0.620117317773861	1	0.922002969429964	0.878832130399885	0.98647348097613	1	0.946927490837611	1	0.683316231558282	0.606278407792911
UnknownSample02	0.583186122986536	0.360019396180679	0.457227139659497	0.39648794552539	0.98647348097613	1	1	1	0.683316231558282	0.606278407792911
UnknownSample03	0.929524811488972	0.729921203508523	0.574308084529079	0.619294319389933	0.98647348097613	1	0.853628523335825	1	0.683316231558282	0.891397094902835
UnknownSample46	0.413742794536102	0.965605738926992	0.633379481089919	0.876413746094342	0.98647348097613	1	1	1	0.683316231558282	0.643275768370797
UnknownSample14	0.765788932320283	0.878278687828994	0.94969157150853	0.995553441875295	0.702197249235527	0.446952001847391	0.528393451983439	0.885542355679785	0.680468976845332	0.618450204002265
UnknownSample59	0.756137271872947	0.803255716699571	0.97612004996242	0.996428284246039	0.579362697222051	0.448239238967666	0.419600079426844	0.885542355679785	0.698082566344255	0.60881793820128
UnknownSample60	0.538868789837056	0.577975043367873	0.43359746057432	0.702806619528792	0.926244768343856	1	0.800556014173436	0.630790372337411	0.848483880404241	0.660697950492073
UnknownSample18	0.62006399686562	1	0.91745694875491	0.915498797066552	0.98647348097613	1	1	1	0.683316231558282	0.606278407792911
UnknownSample38	0.583186122986536	0.356256604468379	0.490522338232776	0.424885078267244	0.98647348097613	1	1	1	0.683316231558282	0.606278407792911
UnknownSample20	0.583186122986536	0.357894517702894	0.434850974474684	0.402391800906768	0.98647348097613	1	1	1	0.683316231558282	0.606278407792911
UnknownSample25	0.583186122986536	0.626358248560543	0.633379481089919	0.995637242220971	0.98647348097613	1	1	0.637732372408429	0.683316231558282	0.606278407792911
UnknownSample31	0.845412688843417	0.89361891918707	0.968679573771944	0.995531800366882	0.613208576102775	0.747006096640314	0.421763131072532	0.978361162804779	0.687981556243245	0.606941061324403
UnknownSample41	0.738459509872618	1	0.85763925574336	0.986332130399885	0.716116118848287	0.451907641574739	0.529509993884083	0.885542355679785	0.658483770332789	0.607647734866463
UnknownSample15	0.492014250009454	0.927516814549737	0.856834428651387	0.996186627754382	0.875773451152271	0.738577823898187	0.73411644637074	0.839408998530272	0.441114745852479	0.606278407792911
UnknownSample21	0.862191478155638	0.72481026753852	0.573943063667745	0.627023402412314	0.98647348097613	1	0.853628523335825	1	0.683316231558282	0.753322666987211
UnknownSample42	0.5019557894282	1	0.774305922410027	0.987843119410874	0.98647348097613	1	1	0.904899765254573	0.47785619945669	0.606278407792911
UnknownSample43	0.583186122986536	0.985122392757726	0.633379481089919	0.988305814610412	0.98647348097613	1	1	0.64096044964093	0.683316231558282	0.606278407792911
UnknownSample33	0.491155380609703	1	0.740972589076693	0.992734569424276	0.98647348097613	0.758103764307676	0.994759807838575	0.866075665196939	0.440785930770254	0.606278407792911
UnknownSample55	0.37083056628163	0.435045817410463	0.526152106182423	0.61794588136377	0.57098298434197	0.443445754652043	0.417185451972929	0.621693938310588	0.403276787908723	0.680631527757701
UnknownSample06	0.489918307465124	0.893122553476729	0.887015515170502	0.997559055925028	0.844832480303197	0.738577823898187	0.697988000478367	0.828575665196939	0.446637456445213	0.606278407792911
UnknownSample39	0.707883336445605	0.737467438146502	0.574292602771364	0.636811647182918	0.98647348097613	1	0.853628523335825	1	0.683316231558282	0.647273057616683
UnknownSample47	0.583186122986536	0.428714107514341	0.633379481089919	0.475009882280625	0.98647348097613	1	1	1	0.683316231558282	0.606278407792911
UnknownSample53	0.523694919862982	1	0.633379481089919	0.957165463733219	0.98647348097613	1	1	1	0.683316231558282	0.545274005500823
UnknownSample01	0.405906595774435	0.944074638448523	0.633379481089919	0.904083350521478	0.972462587332736	0.791795324117908	1	0.66593234496514	0.676277072061042	0.942108270236054
UnknownSample30	0.802667668631828	0.737097204899557	0.574826094647144	0.635764730069205	0.98647348097613	1	0.853628523335825	1	0.683316231558282	0.691495501839127
UnknownSample58	0.812191478155638	0.389938626116413	0.561359161337944	0.355819876108289	0.98647348097613	1	0.853628523335825	1	0.683316231558282	0.692858494092473
UnknownSample45	0.599528547683314	1	0.869544017648122	0.95535386953032	0.98647348097613	1	1	1	0.683316231558282	0.606278407792911
